    0.000000 start
    4.339080 read initial snapshot
  702.697699 have memory trace of crashed thread
  702.698759 built rip trace
  702.698801 have proximal cause
  702.698905 built cmn for {}9:c822b0
  702.698913 rendered cmn for {}9:c822b0
  702.699451 built cmn for {}9:c822a4
  702.699463 rendered cmn for {}9:c822a4
  702.699545 built cmn for {}9:c8229c
  702.699739 rendered cmn for {}9:c8229c
  702.699823 built cmn for {c8229c;}9:7f860d344ed1
  702.699835 rendered cmn for {c8229c;}9:7f860d344ed1
  702.699895 built cmn for {c8229c;}9:7f860d344eca
  702.699906 rendered cmn for {c8229c;}9:7f860d344eca
  702.699981 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  702.699993 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  702.700128 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  702.700142 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  702.700235 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  702.700247 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  702.700353 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  702.700366 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  702.700475 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  702.700487 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  702.700606 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  702.700617 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  702.700784 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  702.700797 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  702.700847 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  702.700858 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  702.700924 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  702.700936 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  702.701016 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  702.701028 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  702.701105 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  702.701117 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  702.701210 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  702.701222 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  702.701316 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  702.701328 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  702.701492 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  702.701503 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  702.701672 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  702.701685 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  702.701808 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  702.701820 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  702.701868 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  702.701880 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  702.701926 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  702.701937 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  702.702136 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  702.702148 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  702.702288 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  702.702300 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  702.702620 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  702.702633 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  702.702694 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  702.702705 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  702.704360 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  702.704433 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  702.704529 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1647
  702.704556 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1647
  702.704654 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1644
  702.704666 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1644
  702.704772 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a163b
  702.704783 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a163b
  702.704910 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1637
  702.704921 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1637
  702.705094 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1634
  702.705105 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1634
  702.705236 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1630
  702.705248 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1630
  702.705390 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b6
  702.705402 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b6
  702.705510 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ad
  702.705522 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ad
  702.705658 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a9
  702.705722 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a9
  702.705857 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a7
  702.705869 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a7
  702.705999 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f99f
  702.706011 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f99f
  702.706066 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f998
  702.706077 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f998
  702.706189 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f996
  702.706255 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f996
  702.706377 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f993
  702.706395 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f993
  702.706455 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa4c
  702.706473 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa4c
  702.706556 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa46
  702.706574 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa46
  702.708493 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa44
  702.708578 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa44
  702.708812 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa41
  702.708873 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa41
  702.710510 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa3f
  702.710624 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa3f
  702.711010 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa38
