    0.000000 start
    4.264084 read initial snapshot
  699.842742 have memory trace of crashed thread
  699.845028 built rip trace
  699.845076 have proximal cause
  699.845177 built cmn for {}9:c822b0
  699.845186 rendered cmn for {}9:c822b0
  699.845738 built cmn for {}9:c822a4
  699.845750 rendered cmn for {}9:c822a4
  699.845832 built cmn for {}9:c8229c
  699.847273 rendered cmn for {}9:c8229c
  699.847369 built cmn for {c8229c;}9:7f860d344ed1
  699.847381 rendered cmn for {c8229c;}9:7f860d344ed1
  699.847437 built cmn for {c8229c;}9:7f860d344eca
  699.847448 rendered cmn for {c8229c;}9:7f860d344eca
  699.847525 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  699.847537 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  699.847666 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  699.847679 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  699.847772 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  699.847785 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  699.847891 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  699.847903 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  699.848010 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  699.848021 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  699.848136 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  699.848147 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  699.848798 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  699.848810 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  699.848857 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  699.848868 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  699.848929 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  699.848940 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  699.848986 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  699.848997 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  699.849075 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  699.849086 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  699.849174 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  699.849185 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  699.849277 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  699.849288 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  699.849897 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  699.849910 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  699.850080 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  699.850093 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  699.850216 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  699.850228 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  699.850275 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  699.850286 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
