    0.000000 start
    4.207198 read initial snapshot
  703.177205 have memory trace of crashed thread
  703.178272 built rip trace
  703.178314 have proximal cause
  703.178415 built cmn for {}9:c822b0
  703.178424 rendered cmn for {}9:c822b0
  703.178964 built cmn for {}9:c822a4
  703.178976 rendered cmn for {}9:c822a4
  703.179061 built cmn for {}9:c8229c
  703.179084 rendered cmn for {}9:c8229c
  703.179166 built cmn for {c8229c;}9:7f860d344ed1
  703.179179 rendered cmn for {c8229c;}9:7f860d344ed1
  703.179239 built cmn for {c8229c;}9:7f860d344eca
  703.179250 rendered cmn for {c8229c;}9:7f860d344eca
  703.179330 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  703.179343 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  703.179473 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  703.179486 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  703.179580 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  703.179592 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  703.179698 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  703.179710 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  703.179819 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  703.179830 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  703.179948 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  703.179960 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  703.180093 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  703.180105 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  703.180155 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  703.180168 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  703.180226 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  703.180238 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  703.180289 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  703.180300 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  703.180375 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  703.180388 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  703.180475 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  703.180488 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  703.180581 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  703.180592 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  703.180697 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  703.180707 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  703.180873 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  703.180885 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
