    0.000000 start
    4.338944 read initial snapshot
  702.742817 have memory trace of crashed thread
  702.745099 built rip trace
  702.745144 have proximal cause
  702.751356 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ad
  702.751368 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ad
  702.751507 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a9
  702.751523 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a9
  702.751662 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a7
  702.751674 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9a7
  702.751803 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f99f
  702.751816 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f99f
  702.751872 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f998
  702.751883 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f998
  702.751972 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f996
  702.751995 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f996
  702.752115 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f993
  702.752133 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f993
  702.752192 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa4c
  702.752211 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa4c
  702.752270 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa46
  702.752288 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa46
  702.754164 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa44
  702.754203 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa44
  702.754438 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa41
  702.754474 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa41
  702.756069 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa3f
  702.756135 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa3f
  702.756491 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa38
  702.756556 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa38
  702.756733 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa30
  702.756794 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33fa30
  702.756962 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f98d
  702.757039 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f98d
  702.757266 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f98a
  702.757342 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f98a
  702.757708 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f988
  702.757789 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f988
  702.758187 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f985
  702.758267 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f985
  702.758591 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f982
  702.758679 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f982
  702.759051 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f97b
  702.759138 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f97b
  702.759334 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f979
  702.759400 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f979
  702.759748 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f975
  702.759813 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f975
  702.760056 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f971
  702.760120 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f971
  702.760317 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f96c
  702.760379 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f96c
  702.760627 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f96a
  702.761314 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f96a
  702.761862 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368548
  702.761926 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368548
  702.762643 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368544
  702.762703 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368544
  702.763328 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36853f
  702.763426 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36853f
  702.764325 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36853a
  702.764415 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36853a
  702.765329 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368535
  702.765422 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368535
  702.766327 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368530
  702.766419 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368530
  702.767344 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36852b
  702.767435 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36852b
  702.768358 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368526
  702.769341 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368526
  702.769764 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368523
  702.770352 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368523
