    0.000000 start
    5.236423 read initial snapshot
  701.824025 have memory trace of crashed thread
  701.826308 built rip trace
  701.826353 have proximal cause
  701.826453 built cmn for {}9:c822b0
  701.826462 rendered cmn for {}9:c822b0
  701.827001 built cmn for {}9:c822a4
  701.827013 rendered cmn for {}9:c822a4
  701.827094 built cmn for {}9:c8229c
  701.827324 rendered cmn for {}9:c8229c
  701.827407 built cmn for {c8229c;}9:7f860d344ed1
  701.827419 rendered cmn for {c8229c;}9:7f860d344ed1
  701.827475 built cmn for {c8229c;}9:7f860d344eca
  701.827486 rendered cmn for {c8229c;}9:7f860d344eca
  701.827560 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  701.827572 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  701.827701 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  701.827715 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  701.827809 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  701.827822 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  701.827928 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  701.827941 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  701.828048 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  701.828059 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  701.828178 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  701.828189 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  701.828354 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  701.828366 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  701.828411 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  701.828422 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  701.828481 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  701.828492 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  701.828538 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  701.828549 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  701.828623 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  701.828634 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  701.828721 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  701.828732 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  701.828825 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  701.828835 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  701.828938 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  701.828949 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  701.829169 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  701.829181 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  701.829304 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
