    0.000000 start
    4.718671 read initial snapshot
  701.196090 have memory trace of crashed thread
  701.197152 built rip trace
  701.197194 have proximal cause
  701.197295 built cmn for {}9:c822b0
  701.197304 rendered cmn for {}9:c822b0
  701.197843 built cmn for {}9:c822a4
  701.197856 rendered cmn for {}9:c822a4
  701.197939 built cmn for {}9:c8229c
  701.198114 rendered cmn for {}9:c8229c
  701.198198 built cmn for {c8229c;}9:7f860d344ed1
  701.198210 rendered cmn for {c8229c;}9:7f860d344ed1
  701.198267 built cmn for {c8229c;}9:7f860d344eca
  701.198278 rendered cmn for {c8229c;}9:7f860d344eca
  701.198353 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  701.198365 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  701.198497 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  701.198509 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  701.198603 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  701.198615 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  701.198721 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  701.198733 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  701.198844 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  701.198855 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  701.198977 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  701.198989 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  701.199173 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  701.199185 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  701.199235 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  701.199246 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  701.199303 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  701.199315 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  701.199367 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  701.199378 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  701.199455 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  701.199467 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  701.199556 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  701.199568 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  701.199661 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  701.199672 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  701.199826 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  701.199837 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  701.200010 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  701.200022 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  701.200147 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  701.200159 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  701.200207 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  701.200218 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  701.200263 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  701.200274 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  701.200468 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  701.200479 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  701.200618 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  701.200630 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  701.200943 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  701.200956 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  701.201016 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  701.201027 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  701.202670 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  701.202738 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  701.202832 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1647
